group_by	group_level	n_cells	feature_id	feature_name	target_class	assay	feature	mean_CLR	mean_ADT_CLR	mean_HTO_CLR	status	message
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC436	HTO-436	hashtag	HTO	HTO-436	1.00881607711316	NA	1.00881607711316	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC436	HTO-436	hashtag	HTO	HTO-436	1.08010721134098	NA	1.08010721134098	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC436	HTO-436	hashtag	HTO	HTO-436	1.24786354467715	NA	1.24786354467715	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC436	HTO-436	hashtag	HTO	HTO-436	0.876613093121731	NA	0.876613093121731	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	mAOC437	HTO-437	hashtag	HTO	HTO-437	1.40207926509308	NA	1.40207926509308	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	mAOC437	HTO-437	hashtag	HTO	HTO-437	0.989767615723313	NA	0.989767615723313	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	mAOC437	HTO-437	hashtag	HTO	HTO-437	0.952881782106964	NA	0.952881782106964	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	mAOC437	HTO-437	hashtag	HTO	HTO-437	1.02871146197528	NA	1.02871146197528	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	mAOC437	HTO-437	hashtag	HTO	HTO-437	0.979632576454278	NA	0.979632576454278	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	mAOC437	HTO-437	hashtag	HTO	HTO-437	0.95725046194556	NA	0.95725046194556	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	mAOC437	HTO-437	hashtag	HTO	HTO-437	1.05445759466274	NA	1.05445759466274	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	mAOC437	HTO-437	hashtag	HTO	HTO-437	1.28468091971234	NA	1.28468091971234	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	mAOC437	HTO-437	hashtag	HTO	HTO-437	0.953073676290279	NA	0.953073676290279	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.0105184513220454	0.0105184513220454	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.00726521266476871	0.00726521266476871	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.00530049615518503	0.00530049615518503	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.00691517453125343	0.00691517453125343	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.00758745569167152	0.00758745569167152	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.00803272310832739	0.00803272310832739	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.0126020016637565	0.0126020016637565	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.01642664728561	0.01642664728561	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0037	mAOC-S	spike_control	ADT	mAOC-S	0.0478366143654024	0.0478366143654024	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	4.88455592282479	4.88455592282479	NA	ok	
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0040	mAOC-CD45RA	cd45_isoform	ADT	mAOC-CD45RA	3.1899008519284	3.1899008519284	NA	ok	
