group_by	group_level	n_cells	feature_id	feature_name	target_class	validation_assay	validation_feature	mean_ADT_CLR	status	message	mean_RNA_lognormalized
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0158	mAOC-CD27	gene	RNA	CD27	0.0516757039968351	ok		0.00181145129658598
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0158	mAOC-CD27	gene	RNA	CD27	0.00416785648882505	ok		0.003094897934593
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0158	mAOC-CD27	gene	RNA	CD27	0.00447520963701837	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0158	mAOC-CD27	gene	RNA	CD27	0.00592560134551563	ok		0
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0158	mAOC-CD27	gene	RNA	CD27	0.0091896774231952	ok		0.0035844230118481
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0158	mAOC-CD27	gene	RNA	CD27	0.00678533090966944	ok		0.000579970430464376
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0158	mAOC-CD27	gene	RNA	CD27	0.0148528617769385	ok		0.00453962835275517
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0158	mAOC-CD27	gene	RNA	CD27	0.00814334298301012	ok		0.00597221930599189
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0158	mAOC-CD27	gene	RNA	CD27	0.801182832683861	ok		0.260605124055249
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0159	mAOC-CD28	gene	RNA	CD28	0.12558717954346	ok		0.0037406205787294
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0159	mAOC-CD28	gene	RNA	CD28	0.0314655767604982	ok		0.00218123471972451
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0159	mAOC-CD28	gene	RNA	CD28	0.00727356149288093	ok		0.00103865338176538
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0159	mAOC-CD28	gene	RNA	CD28	0.0226528868825314	ok		0
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0159	mAOC-CD28	gene	RNA	CD28	0.0212249176876241	ok		0.000560298387303955
Adult_cHSPCs_Ultima_majority_voting	MEBEMP-L	1898	FADT0159	mAOC-CD28	gene	RNA	CD28	0.0151610895190229	ok		0
Adult_cHSPCs_Ultima_majority_voting	MKP	565	FADT0159	mAOC-CD28	gene	RNA	CD28	0.0502302566379067	ok		0.00463548748583054
Adult_cHSPCs_Ultima_majority_voting	Monocyte	195	FADT0159	mAOC-CD28	gene	RNA	CD28	0.113609300325569	ok		0
Adult_cHSPCs_Ultima_majority_voting	NK/T	116	FADT0159	mAOC-CD28	gene	RNA	CD28	0.464264681811318	ok		0.0866468302201781
Adult_cHSPCs_Ultima_majority_voting	B	652	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.133462993679972	ok		0
Adult_cHSPCs_Ultima_majority_voting	CLP	506	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0599861803306031	ok		0.00886752807808782
Adult_cHSPCs_Ultima_majority_voting	ERYP	440	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0156754144548264	ok		0
Adult_cHSPCs_Ultima_majority_voting	GMP-L	663	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0443086898991079	ok		0.000728251346614615
Adult_cHSPCs_Ultima_majority_voting	HSC_MPP	8254	FADT0160	mAOC-CD161	gene	RNA	KLRB1	0.0265456349136306	ok		0.00150350715947496
