feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_needs_llm_review	mapping_needs_manual_review	group_by	expected_positive_groups	prior_method	prior_confidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	step5_needs_manual_review	step5_review_reason	correlation_status	spearman_correlation	pearson_correlation	linear_model_r_squared	n_groups	positive_rate	positive_n_cells	target_positive_rate	non_target_positive_rate	tnr_raw	target_dropout_pct	gmm_quality_status	adt_signal_class	adt_signal_reason	final_label	final_confidence	decision_source	final_reason	recommended_action	llm_review_needed	llm_review_reason	candidate_labels
FADT0158	mAOC-CD27	gene	CD27	RNA	CD27	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	B;MKP;NK/T	MKP;Monocyte;NK/T	MKP;NK/T	B;NK/T	NK/T	FALSE		ok	0.627620556566792	0.998115518881326	0.996234589031738	9	0.323576	43	5.208333	0.02396	14.807144	86.067708	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0159	mAOC-CD28	gene	CD28	RNA	CD28	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	B;MKP;NK/T	B;NK/T	NK/T	NK/T	FALSE		ok	0.559402390487169	0.959789714618852	0.921196296288137	9	1.121228	149	27.586207	0.88818	11.314589	53.448276	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0160	mAOC-CD161	gene	KLRB1	RNA	KLRB1	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	B;Monocyte;NK/T	CLP;MKP;NK/T	NK/T	NK/T	NK/T	FALSE		ok	0.288176989038844	0.967812236610991	0.93666052533397	9	1.79848	239	25.862069	1.586579	12.827651	43.103448	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0161	mAOC-CD38	gene	CD38	RNA	CD38	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;CLP;GMP-L;MEBEMP-L	local_marker_prior	0.95	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	GMP-L	GMP-L	FALSE		ok	0.933333333333333	0.920567607782964	0.847444720499249	9	81.435774	10822	87.066416	79.247649	1.78199	0.484001	trimodal_candidate	target_enriched_broad	Broad thresholded signal still shows target enrichment.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched_broad.	Use as target-consistent ADT feature.	FALSE		
FADT0166	mAOC-CD1d	gene	CD1D	RNA	CD1D	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		local_marker_prior:no_vote	0.95	B;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte			FALSE		ok	0.406838102172486	0.0582278917119148	0.00339048737321448	9	2.024231	269	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	llm_review_needed		rule:llm_queue	Step 6 signal class is no_target_detected_signal, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	Step 6 signal class is no_target_detected_signal, which requires semantic review.	correct;suspicious;wrong;no_signal
FADT0167	mAOC-CD22	gene	CD22	RNA	CD22	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B	local_marker_prior	0.95	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B	B	FALSE		ok	0.95	0.956547274648268	0.914982688637029	9	9.744902	1295	98.773006	5.151539	56.965512	0	trimodal_candidate	target_enriched	Target cells are enriched by raw TNR and thresholded positive rate.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0170	Tag-ALFA	gene	Tag-ALFA	RNA	Tag-ALFA	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.95	B;MKP;NK/T					FALSE		insufficient_groups	NA	NA	NA	0	1.527579	203	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	llm_review_needed		rule:llm_queue	RNA validation summary status is insufficient_groups. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	RNA validation summary status is insufficient_groups. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	correct;suspicious;wrong;no_signal
FADT0175	mAOC-CD340	gene	ERBB2	RNA	ERBB2	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting		llm_marker_prior:no_vote	0.9	MKP;Monocyte;NK/T	CLP;HSC_MPP;MKP	MKP			FALSE		ok	-0.493728171165877	-0.626279856442125	0.392226458585169	9	0.1505	20	NA	NA	NA	NA	rare_positive	no_target_detected_signal	No expected target groups, but thresholded ADT signal is detected.	llm_review_needed		rule:llm_queue	RNA-ADT Spearman correlation is below threshold: -0.494 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	Send structured evidence to LLM for final triage label.	TRUE	RNA-ADT Spearman correlation is below threshold: -0.494 < 0.200. | Step 6 signal class is no_target_detected_signal, which requires semantic review.	correct;suspicious;wrong;no_signal
FADT0180	mAOC-CD86	gene	CD86	RNA	CD86	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;Monocyte	llm_marker_prior	0.85	CLP;Monocyte;NK/T	B;CLP;Monocyte	CLP;Monocyte	Monocyte	B;Monocyte	FALSE		ok	0.616666666666667	0.879163538056837	0.772928526648616	9	4.349462	578	27.98111	2.740717	10.444801	56.316411	rare_positive	rare_target_enriched	Low global positive rate but target cells are enriched.	correct	0.9	rule:target_enriched	Mapping is resolved and Step 6 classified ADT signal as rare_target_enriched.	Use as target-consistent ADT feature.	FALSE		
FADT0186	mAOC-CD223	gene	LAG3	RNA	LAG3	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	NK/T	local_marker_prior	0.95	CLP;Monocyte;NK/T	GMP-L;HSC_MPP;MKP		NK/T		TRUE	No observed validation-high group overlaps expected prior groups.	ok	-0.0522232967867094	-0.18089050842964	0.0327213760399335	9	2.994958	398	2.586207	2.998558	1.447338	80.172414	rare_positive	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	llm_review_needed		rule:llm_queue	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.052 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	Send structured evidence to LLM for final triage label.	TRUE	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: -0.052 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	correct;suspicious;wrong
mAOC0297	mAOC-CD100	gene	SEMA4D	RNA	SEMA4D	map:id_left_join	0.95	FALSE	FALSE	Adult_cHSPCs_Ultima_majority_voting	B;NK/T	local_marker_prior	0.95	ERYP;MEBEMP-L;MKP	CLP;GMP-L;Monocyte				TRUE	No observed ADT-high group overlaps expected prior groups.	ok	0.0166666666666667	0.0779647462120119	0.0060785016519034	9	36.917752	4906	1.5625	39.086335	0.150207	91.796875	trimodal_candidate	distribution_detected_but_off_target	A thresholded ADT-positive population exists, but it is not enriched in the expected target groups.	llm_review_needed		rule:llm_queue	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: 0.017 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	Send structured evidence to LLM for final triage label.	TRUE	Step 5 prior review marked this row as needing manual review. | RNA-ADT Spearman correlation is below threshold: 0.017 < 0.200. | Step 6 detected an ADT-positive distribution, but it is off-target relative to expected groups.	correct;suspicious;wrong
