group_by	feature_id	feature_name	target_class	validation_assay	validation_feature	validation_signal	pearson_correlation	spearman_correlation	linear_model_slope	linear_model_r_squared	n_groups	min_cells_per_group	status	message
Adult_cHSPCs_Ultima_majority_voting	mAOC0442	mAOC-CD105	gene	RNA	ENG	RNA log-normalized group mean	0.107563202801824	-0.166666666666667	0.0176263533243377	0.0115698425969863	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0444	mAOC-CD124	gene	RNA	IL4R	RNA log-normalized group mean	0.90734647785692	0.65	1.26258711886055	0.823277630879359	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0448	mAOC-CD155	gene	RNA	PVR	RNA log-normalized group mean	-0.101404737474587	0.0251048222626717	-0.145495708780965	0.01028292078229	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0450	mAOC-CD40	gene	RNA	CD40	RNA log-normalized group mean	0.926126180821637	0.733333333333333	2.6601835302462	0.857709702803273	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0451	mAOC-CD40	gene	RNA	CD40	RNA log-normalized group mean	0.926126180821637	0.733333333333333	2.6601835302462	0.857709702803273	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0452	mAOC-CD154	gene	RNA	CD40LG	RNA log-normalized group mean	-0.303935237394947	-0.147966007562343	-0.324435507574367	0.0923766285303227	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0453	mAOC-HLA-ABC	gene	RNA	HLA-A	RNA log-normalized group mean	0.46158552783144	0.6	0.0606345861554768	0.213061199503429	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0454	mAOC-CD123	gene	RNA	IL3RA	RNA log-normalized group mean	0.828200440103845	0.883333333333333	1.75411073727775	0.685915968988203	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0455	mAOC-CD49f	gene	RNA	ITGA6	RNA log-normalized group mean	0.169020049530599	0.435150252552976	1.29780742728627	0.0285677771433261	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0459	mAOC-CD183	gene	RNA	CXCR3	RNA log-normalized group mean	0.239205628374822	-0.0833333333333333	1.95685316302895	0.0572193326461936	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0460	mAOC-CD195	gene	RNA	CCR5	RNA log-normalized group mean	0.178321742874172	0.113150476371204	0.819919792917184	0.0317986439816823	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0461	mAOC-CD185	gene	RNA	CXCR5	RNA log-normalized group mean	0.223356243894698	0.287142787463236	0.101104974123351	0.0498880116867477	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0464	mAOC-CD141	gene	RNA	THBD	RNA log-normalized group mean	-0.0761564355908269	-0.192470304013816	-0.205621976155911	0.00579980268189977	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0465	mAOC-CD58	gene	RNA	CD58	RNA log-normalized group mean	-0.292086422627706	-0.116666666666667	-0.00295188021700087	0.0853144782834507	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0467	mAOC-CD24	gene	RNA	CD24	RNA log-normalized group mean	0.900365804159541	0.483333333333333	0.11828444076641	0.810658581299857	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0470	mAOC-CD192	gene	RNA	CCR2	RNA log-normalized group mean	-0.275796460156857	-0.184102029926259	-0.771472174202836	0.0760636874350528	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0472	mAOC-CD163	gene	RNA	CD163	RNA log-normalized group mean	0.336458590366838	-0.0099429912321002	0.0140093598209037	0.113204383031639	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0473	mAOC-CD163	gene	RNA	CD163	RNA log-normalized group mean	0.336458590366838	-0.0099429912321002	0.0140093598209037	0.113204383031639	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0474	mAOC-CD303	gene	RNA	CLEC4C	RNA log-normalized group mean	-0.173703075077681	0.368204059852518	-0.00568353666059369	0.0301727582914425	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0476	mAOC-CD127	gene	RNA	IL7R	RNA log-normalized group mean	0.910341029375885	0.616666666666667	0.052369974456046	0.828720789765146	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0478	mAOC-CD93	gene	RNA	CD93	RNA log-normalized group mean	0.305199894938641	-0.216666666666667	0.0144133952048695	0.0931469758705577	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0479	mAOC-CD23	gene	RNA	FCER2	RNA log-normalized group mean	-0.274610221721365	-0.316666666666667	-0.00793122882716665	0.0754107738738574	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0481	mAOC-CD71	gene	RNA	TFRC	RNA log-normalized group mean	-0.37487982097441	-0.1	-0.0245095188162966	0.140534880173805	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0482	mAOC-CD7	gene	RNA	CD7	RNA log-normalized group mean	0.835977273007379	-0.0833333333333333	0.0241444753659539	0.698858000984853	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0485	mAOC-CD25	gene	RNA	IL2RA	RNA log-normalized group mean	0.691689547850159	0.644087327036082	0.000432555926211268	0.478434430605157	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0486	mAOC-CD2	gene	RNA	CD2	RNA log-normalized group mean	0.932766611383387	0.0508547627715608	0.285834195880494	0.870053551311646	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0488	mAOC-CD62L	gene	RNA	SELL	RNA log-normalized group mean	0.181637398320121	-0.133333333333333	0.0325758113135053	0.0329921444685021	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0490	mAOC-CD158a	gene	RNA	KIR2DL1	RNA log-normalized group mean	-0.0256541403562459	0.273861278752583	-1.26889506955086	0.000658134917417967	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0492	mAOC-CD115	gene	RNA	CSF1R	RNA log-normalized group mean	-0.207173773654675	0.0418413704377862	-0.12479990761634	0.0429209724903186	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0496	mAOC-CD272	gene	RNA	BTLA	RNA log-normalized group mean	0.0774443956465059	0.55	0.041493828939212	0.00599763441705255	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0500	mAOC-CD16a	gene	RNA	FCGR3A	RNA log-normalized group mean	0.259992841613671	-0.0944584167049519	0.00605689828643589	0.0675962776903515	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0505	mAOC-CD35	gene	RNA	CR1	RNA log-normalized group mean	0.949815847786256	0.616666666666667	19.4350828314742	0.902150144705924	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0506	mAOC-CD31	gene	RNA	PECAM1	RNA log-normalized group mean	0.197108031219387	0.166666666666667	0.122084492931129	0.0388515759711828	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0507	mAOC-CD11c	gene	RNA	ITGAX	RNA log-normalized group mean	-0.0220586706261346	-0.4	-0.00023429689171914	0.000486584949792294	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0508	mAOC-CD157	gene	RNA	BST1	RNA log-normalized group mean	-0.136723044782161	0.0836827408755723	-0.11367633907383	0.0186931909745047	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0509	mAOC-CD277	gene	RNA	BTN3A1	RNA log-normalized group mean	0.656265679076103	0	0.629602767866324	0.430684641533219	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0518-1	mAOC-ACVR2B	gene	RNA	ACVR2B	RNA log-normalized group mean	-0.379327666706981	-0.65	-2.18337069626594	0.143889478729362	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0519-1	mAOC-CD246	gene	RNA	ALK	RNA log-normalized group mean	-0.11482384989261	-0.0502096445253434	-1.13354642150407	0.0131845165041607	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0520	mAOC-TNFA	gene	RNA	TNF	RNA log-normalized group mean	0.809184973482333	0.5	0.0493110471629288	0.654780321309604	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0522-1	mAOC-CD350	gene	RNA	FZD10	RNA log-normalized group mean	NA	NA	NA	NA	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0523-1	mAOC-GLP1R	gene	RNA	GLP1R	RNA log-normalized group mean	-0.410792282175085	-0.0912870929175277	-9.48640271357312	0.168750299094615	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0524	mAOC-GPC2	gene	RNA	GPC2	RNA log-normalized group mean	0.820266461924631	-0.15	1.14819719411216	0.672837068558352	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0525	mAOC-HTR2B	gene	RNA	HTR2B	RNA log-normalized group mean	-0.726886764835344	-0.343099237589846	-7.56354454580685	0.528364368892793	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0526	mAOC-CD213a2	gene	RNA	IL13RA2	RNA log-normalized group mean	-0.405802285962887	-0.559402390487169	-1.25567546235938	0.164675495292705	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0527	mAOC-CD220	gene	RNA	INSR	RNA log-normalized group mean	0.0967149234510353	0.366666666666667	0.0606304402936794	0.00935377641813963	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0528	mAOC-Galectin-3	gene	RNA	LGALS3	RNA log-normalized group mean	-0.00555959447222614	0.216666666666667	-5.08896722263835e-05	3.09090906956073e-05	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0529	mAOC-CD257	gene	RNA	TNFSF13B	RNA log-normalized group mean	0.442121215211077	0.166666666666667	0.103670436405178	0.19547116893972	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0530	mAOC-CD279	gene	RNA	PDCD1	RNA log-normalized group mean	-0.136938766662012	-0.39330888211519	-0.120628773653727	0.0187522258149131	9	116	ok	
Adult_cHSPCs_Ultima_majority_voting	mAOC0531	mAOC-TNFSF12	gene	RNA	TNFSF12	RNA log-normalized group mean	-0.30307625261139	-0.419920627420627	-4.30726565617983	0.0918552148969629	9	116	ok	
