feature_id	feature_name	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	llm_suggested_target_class	llm_suggested_gene_symbol	llm_confidence	llm_reason	needs_manual_review	manual_curated_target_class	manual_curated_gene_symbol	manual_notes
mAOC0481	mAOC-CD71	gene	TFRC		RNA	TFRC	map:id_left_join	0.95					FALSE			
mAOC0482	mAOC-CD7	gene	CD7		RNA	CD7	map:id_left_join	0.95					FALSE			
mAOC0485	mAOC-CD25	gene	IL2RA		RNA	IL2RA	map:id_left_join	0.95					FALSE			
mAOC0486	mAOC-CD2	gene	CD2		RNA	CD2	map:id_left_join	0.95					FALSE			
mAOC0488	mAOC-CD62L	gene	SELL		RNA	SELL	map:id_left_join	0.95					FALSE			
mAOC0490	mAOC-CD158a	gene	KIR2DL1		RNA	KIR2DL1	map:id_left_join	0.95					FALSE			
mAOC0492	mAOC-CD115	gene	CSF1R		RNA	CSF1R	map:id_left_join	0.95					FALSE			
mAOC0496	mAOC-CD272	gene	BTLA		RNA	BTLA	map:id_left_join	0.95					FALSE			
mAOC0500	mAOC-CD16a	gene	FCGR3A		RNA	FCGR3A	map:id_left_join	0.95					FALSE			
mAOC0505	mAOC-CD35	gene	CR1		RNA	CR1	map:id_left_join	0.95					FALSE			
mAOC0506	mAOC-CD31	gene	PECAM1		RNA	PECAM1	map:id_left_join	0.95					FALSE			
mAOC0507	mAOC-CD11c	gene	ITGAX		RNA	ITGAX	map:id_left_join	0.95					FALSE			
mAOC0508	mAOC-CD157	gene	BST1		RNA	BST1	map:id_left_join	0.95					FALSE			
mAOC0509	mAOC-CD277	gene	BTN3A1		RNA	BTN3A1	map:id_left_join	0.95					FALSE			
mAOC0518-1	mAOC-ACVR2B	ambiguous			manual		unresolved	0.00					TRUE			
mAOC0519-1	mAOC-CD246	ambiguous			manual		unresolved	0.00					TRUE			
mAOC0520	mAOC-TNFA	gene	TNF		RNA	TNF	map:id_left_join	0.95					FALSE			
mAOC0522-1	mAOC-CD350	ambiguous			manual		unresolved	0.00					TRUE			
mAOC0523-1	mAOC-GLP1R	ambiguous			manual		unresolved	0.00					TRUE			
mAOC0524	mAOC-GPC2	gene	GPC2		RNA	GPC2	map:id_left_join	0.95					FALSE			
mAOC0525	mAOC-HTR2B	gene	HTR2B		RNA	HTR2B	map:id_left_join	0.95					FALSE			
mAOC0526	mAOC-CD213a2	gene	IL13RA2		RNA	IL13RA2	map:id_left_join	0.95					FALSE			
mAOC0527	mAOC-CD220	gene	INSR		RNA	INSR	map:id_left_join	0.95					FALSE			
mAOC0528	mAOC-Galectin-3	gene	LGALS3		RNA	LGALS3	map:id_left_join	0.95					FALSE			
mAOC0529	mAOC-CD257	gene	TNFSF13B		RNA	TNFSF13B	map:id_left_join	0.95					FALSE			
mAOC0530	mAOC-CD279	gene	PDCD1		RNA	PDCD1	map:id_left_join	0.95					FALSE			
mAOC0531	mAOC-TNFSF12	gene	TNFSF12		RNA	TNFSF12	map:id_left_join	0.95					FALSE			
mAOC0532	mAOC-CD314	gene	KLRK1		RNA	KLRK1	map:id_left_join	0.95					FALSE			
mAOC0533	mAOC-CD274	gene	CD274		RNA	CD274	map:id_left_join	0.95					FALSE			
mAOC0534	mAOC-CD64	gene	FCGR1A		RNA	FCGR1A	map:id_left_join	0.95					FALSE			
mAOC0540	mAOC-CD117	gene	KIT		RNA	KIT	map:id_left_join	0.95					FALSE			
mAOC0541	mAOC-KLB	gene	KLB		RNA	KLB	map:id_left_join	0.95					FALSE			
mAOC0542	mAOC-CD107a	gene	LAMP1		RNA	LAMP1	map:id_left_join	0.95					FALSE			
mAOC0543	mAOC-GARP	gene	LRRC32		RNA	LRRC32	map:id_left_join	0.95					FALSE			
mAOC0544	mAOC-MICA	gene	MICA		RNA	MICA	map:id_left_join	0.95					FALSE			
mAOC0545	mAOC-CD335	gene	NCR1		RNA	NCR1	map:id_left_join	0.95					FALSE			
mAOC0548	mAOC-SLC40A1	gene	SLC40A1		RNA	SLC40A1	map:id_left_join	0.95					FALSE			
mAOC0549	mAOC-CD366	gene	HAVCR2		RNA	HAVCR2	map:id_left_join	0.95					FALSE			
mAOC0550	mAOC-CD262	gene	TNFRSF10B		RNA	TNFRSF10B	map:id_left_join	0.95					FALSE			
mAOC0551	mAOC-CD269	gene	TNFRSF17		RNA	TNFRSF17	map:id_left_join	0.95					FALSE			
mAOC0553	mAOC-TSHR	gene	TSHR		RNA	TSHR	map:id_left_join	0.95					FALSE			
mAOC0554	mAOC-CD309	gene	TNFRSF9		RNA	TNFRSF9	map:id_left_join	0.95					FALSE			
mAOC0555	mAOC-VISTA	gene	VSIR		RNA	VSIR	map:id_left_join	0.95					FALSE			
mAOC0556	mAOC-CD197	gene	CCR7		RNA	CCR7	map:id_left_join	0.95					FALSE			
mAOC0561	mAOC-CD32b	gene	FCGR2B		RNA	FCGR2B	map:id_left_join	0.95					FALSE			
mAOC0562	mAOC-CD332	gene	FGFR2		RNA	FGFR2	map:id_left_join	0.95					FALSE			
mAOC0564	mAOC-CD338	gene	ABCG2		RNA	ABCG2	map:id_left_join	0.95					FALSE			
mAOC0567	mAOC-CD20	gene	MS4A1		RNA	MS4A1	map:id_left_join	0.95					FALSE			
mAOC0569	mAOC-FZD5	gene	FZD5		RNA	FZD5	map:id_left_join	0.95					FALSE			
mAOC0570	mAOC-GLP1R	gene	GLP1R		RNA	GLP1R	map:id_left_join	0.95					FALSE			
mAOC0576	mAOC-SIGLEC15	gene	SIGLEC15		RNA	SIGLEC15	map:id_left_join	0.95					FALSE			
mAOC0580	mAOC-CD202b	gene	TEK		RNA	TEK	map:id_left_join	0.95					FALSE			
mAOC0581	mAOC-CD154	gene	CD40LG		RNA	CD40LG	map:id_left_join	0.95					FALSE			
mAOC0582	mAOC-CD46	gene	CD46		RNA	CD46	map:id_left_join	0.95					FALSE			
mAOC0583	mAOC-CD74	gene	CD74		RNA	CD74	map:id_left_join	0.95					FALSE			
mAOC0584	mAOC-CD116	gene	CSF2RA		RNA	CSF2RA	map:id_left_join	0.95					FALSE			
mAOC0585	mAOC-FCER1A	gene	FCER1A		RNA	FCER1A	map:id_left_join	0.95					FALSE			
mAOC0586	mAOC-CD50	gene	ICAM3		RNA	ICAM3	map:id_left_join	0.95					FALSE			
mAOC0587	mAOC-CD210b	gene	IL10RB		RNA	IL10RB	map:id_left_join	0.95					FALSE			
mAOC0588	mAOC-CD218a	gene	IL18R1		RNA	IL18R1	map:id_left_join	0.95					FALSE			
mAOC0589	mAOC-IL1RAP	gene	IL1RAP		RNA	IL1RAP	map:id_left_join	0.95					FALSE			
mAOC0590	mAOC-CD360	gene	IL21R		RNA	IL21R	map:id_left_join	0.95					FALSE			
mAOC0591	mAOC-CD85f	gene	LILRA5		RNA	LILRA5	map:id_left_join	0.95					FALSE			
mAOC0592	mAOC-CD85a	gene	LILRB3		RNA	LILRB3	map:id_left_join	0.95					FALSE			
mAOC0593	mAOC-CD6	gene	CD6		RNA	CD6	map:id_left_join	0.95					FALSE			
mAOC0598	mAOC-CD89	gene	FCAR		RNA	FCAR	map:id_left_join	0.95					FALSE			
mAOC0599	mAOC-CD23	gene	FCER2		RNA	FCER2	map:id_left_join	0.95					FALSE			
mAOC0600	mAOC-CD316	gene	IGSF8		RNA	IGSF8	map:id_left_join	0.95					FALSE			
mAOC0601	mAOC-CD126	gene	IL6R		RNA	IL6R	map:id_left_join	0.95					FALSE			
